Crime,mean,std,lower,upper
,0.0,0.0,0.0,0.0
LOST OR STOLEN ITEM,6.729559748427673,3.8247785318381586,2.904781216589514,10.554338280265831
FRAUD - CREDIT CARDS/ATM/BANK CARD,1.1572327044025157,1.37580628233723,-0.2185735779347142,2.5330389867397454
ACCIDENTS - P.D. REPORTABLE,1.8679245283018868,1.6539680233051888,0.21395650499669805,3.521892551607076
LARCENY - FROM MOTOR VEHICLE,2.69811320754717,2.739201391935969,-0.04108818438879913,5.437314599483139
ACCIDENTS - P.D. NOT REPORTABLE,2.949685534591195,2.359464491213156,0.590221043378039,5.309150025804351
NARCOTICS - POSSESSION,9.773584905660377,6.684503643939966,3.089081261720411,16.45808854960034
BURGLARY,1.9245283018867925,2.458638013959681,-0.5341097120728886,4.3831663158464735
LARCENY - FROM BUILDING,6.7924528301886795,3.9842656863554904,2.808187143833189,10.77671851654417
ALCOHOL - DWI,8.672955974842766,4.700520918272018,3.972435056570749,13.373476893114784
ACCIDENTS - P.D. H&R REPORTABLE,0.9371069182389937,1.6826950000459628,-0.7455880818069691,2.6198019182849563
ACCIDENTS - P.D. H&R NOT REPORTABLE,4.654088050314465,3.3280309710242797,1.3260570792901856,7.982119021338745
ASSAULT - NON DOMESTIC,1.0943396226415094,1.2001711525106924,-0.10583152986918298,2.294510775152202
DISTURBANCE - OTHER,7.59748427672956,3.758735811001235,3.8387484657283246,11.356220087730795
MISC - OTHER,1.849056603773585,2.6342166208640654,-0.7851600170904804,4.48327322463765
OUTSIDE - O.P.S. OTHER,2.10062893081761,1.5998218593610214,0.5008070714565886,3.7004507901786314
MEDICAL EMERGENCY,11.89308176100629,6.375974678499576,5.517107082506714,18.269056439505867
FIRE (WORKING) - ALARM,0.39622641509433965,0.6366334311257463,-0.24040701603140668,1.032859846220086
ALCOHOL - DRUNK,8.471698113207546,4.4562732354282195,4.015424877779327,12.927971348635765
ALCOHOL - MINOR IN POSSESSION,13.018867924528301,9.724998257858818,3.293869666669483,22.74386618238712
LARCENY - GAS FROM SELF SERVICE PUMP,0.2138364779874214,0.5885487394098594,-0.374712261422438,0.8023852173972807
VANDALISM - OTHER,7.943396226415095,5.422929848290437,2.5204663781246577,13.366326074705531
LARCENY - MOTOR VEH. ACCESSORIES,0.48427672955974843,0.7102802612478755,-0.22600353168812704,1.194556990807624
LARCENY - OTHER OR FROM OPEN AREA,2.559748427672956,2.020750565434341,0.5389978622386149,4.580498993107297
WEAPONS _ OTHER,0.1069182389937107,0.34843583519424653,-0.24151759620053584,0.45535407418795726
SS - CHECK WELFARE OF PERSON,1.8238993710691824,1.79498101677127,0.02891835429791234,3.6188803878404525
TRESPASSING,5.622641509433962,3.2891829720822283,2.333458537351734,8.911824481516192
SUSPICIOUS PERSON,0.7924528301886793,0.9076013155991908,-0.11514848541051148,1.70005414578787
LARCENY - STOLEN BIKE,7.823899371069182,5.538741107246381,2.285158263822802,13.362640478315562
FIRE - FALSE ALARM,2.150943396226415,2.2619266998534484,-0.11098330362703335,4.412870096079864
TRAFFIC - OTHER,0.8490566037735849,1.0445075106545234,-0.19545090688093847,1.8935641144281083
TRAFFIC - SUSPENDED DRIVER,7.716981132075472,8.24554507680152,-0.5285639447260477,15.96252620887699
VANDALISM - BY GRAFFITI,2.2767295597484276,3.0727712921304353,-0.7960417323820077,5.349500851878863
WEAPONS - CONCEALED,0.20125786163522014,0.4469286779936145,-0.24567081635839438,0.6481865396288347
"PROPERTY DAMAGE - UNINTENTIONAL,NON TRAFFIC",2.220125786163522,1.7561746357257038,0.4639511504378184,3.976300421889226
ARSON,0.1320754716981132,0.375064678762629,-0.2429892070645158,0.5071401504607422
ASSAULT - OF POLICE OFFICER,0.1509433962264151,0.37633608809960567,-0.22539269187319058,0.5272794843260208
WEAPONS - DISCHARGE IN CITY,0.0440251572327044,0.20579921238625828,-0.1617740551535539,0.24982436961896268
TELEPHONE - OTHER,0.9748427672955975,1.0308512246067838,-0.05600845731118631,2.0056939919023815
TELEPHONE - THREATENING CALLS,0.3018867924528302,0.6137116481727699,-0.31182485571993973,0.9155984406256001
MISSING PERSON - ADULT,0.11320754716981132,0.33717238342606204,-0.22396483625625072,0.45037993059587333
AUTO THEFT,0.41509433962264153,0.7053312965402498,-0.2902369569176083,1.1204256361628913
NARCOTICS - OTHER,0.7672955974842768,1.3081776316183407,-0.5408820341340639,2.0754732291026174
ALCOHOL - UNL POLICY VIOLATION,0.3584905660377358,0.8365315588554146,-0.4780409928176788,1.1950221248931505
LITTERING,2.8238993710691824,3.512247272217908,-0.6883479011487257,6.3361466432870905
TELEPHONE - OBSCENE CALLS,0.3584905660377358,0.7817783918888787,-0.42328782585114283,1.1402689579266145
LARCENY - FROM COIN OPERATED MACH.,0.3333333333333333,0.9254945080270254,-0.5921611746936921,1.2588278413603586
ROBBERY,0.14465408805031446,0.38707729884845354,-0.24242321079813908,0.531731386898768
ALCOHOL - CONSUMPTION IN PUBLIC,0.44654088050314467,0.9977683880688942,-0.5512275075657496,1.444309268572039
FRAUD - IMPERSONATION,0.18867924528301888,0.4235146989925119,-0.234835453709493,0.6121939442755308
ACCIDENTS - INJURY,0.3836477987421384,0.6443399344434128,-0.26069213570127436,1.0279877331855511
STALKING,0.2830188679245283,0.586040948494757,-0.30302208057022867,0.8690598164192853
DISTURBANCE - DOMESTIC,0.4968553459119497,0.6738723711606266,-0.1770170252486769,1.1707277170725763
SEX OFFENSE - STATUTORY RAPE,0.006289308176100629,0.07930515857181439,-0.07301585039571376,0.08559446674791502
WEAPONS - ILLEGAL WEAPON,0.025157232704402517,0.15709730656189644,-0.13194007385749393,0.18225453926629895
WARRANT SERVICE,0.05660377358490566,0.25767418881332804,-0.2010704152284224,0.3142779623982337
KIDNAPPING,0.006289308176100629,0.07930515857181439,-0.07301585039571376,0.08559446674791502
JUVENILE - NOT OTHERWISE CLASSIFIED,0.031446540880503145,0.17507263041807267,-0.14362608953756953,0.2065191712985758
OUTSIDE - O.P.S. ACCIDENT,0.13836477987421383,0.3811705392832905,-0.24280575940907664,0.5195353191575043
SEX OFFENSE - INDECENT EXPOSURE,0.18867924528301888,0.4661967222182303,-0.2775174769352114,0.6548759675012492
FIRE (WORKING) - NO ALARM,0.6163522012578616,0.7859424894279237,-0.16959028817006205,1.4022946906857854
FRAUD - CON GAMES/DECEPTION/FALSE    PRETENSE/OTHER,0.44025157232704404,0.671208950549786,-0.23095737822274198,1.11146052287683
SEX OFFENSE - ATTEMPT RAPE,0.03773584905660377,0.22181051477827854,-0.18407466572167477,0.25954636383488233
"MISSING PERSON - JUVENILE,(INCLUDES RUNAWAY)",0.09433962264150944,0.31406789619461245,-0.219728273553103,0.4084075188361219
ANIMAL - All CALLS OTHER THAN DOGS,0.06289308176100629,0.24353760376070457,-0.18064452199969827,0.3064306855217109
"CHILD ABUSE/NEG - UNATTENDED, OTHER",0.06918238993710692,0.2783199337286278,-0.20913754379152089,0.3475023236657347
FORGERY - COUNTERFEIT MONEY/COINS,0.11320754716981132,0.43547053084430287,-0.3222629836744916,0.5486780780141142
LARCENY - POCKET PICK,0.050314465408805034,0.21928370555881443,-0.16896924015000941,0.26959817096761945
DEATH - UNK CAUSE,0.031446540880503145,0.17507263041807267,-0.14362608953756953,0.2065191712985758
FORGERY - CHECKS,0.09433962264150944,0.3520725764900078,-0.25773295384849837,0.4464121991315172
"FRAUD, FAIL TO PAY",0.031446540880503145,0.1750726304180727,-0.14362608953756956,0.20651917129857583
SEX OFFENSE - MOLEST/FONDLING,0.18238993710691823,0.41878887935058345,-0.23639894224366523,0.6011788164575017
UNL POLICY VIOLATION - WEAPONS,0.14465408805031446,0.38707729884845354,-0.24242321079813908,0.531731386898768
LARCENY - SHOPLIFTING,0.27044025157232704,0.4991833151929509,-0.22874306362062385,0.769623566765278
ACCIDENTS - INJURY H&R,0.025157232704402517,0.15709730656189647,-0.13194007385749396,0.18225453926629898
SEX OFFENSE - RAPE,0.3710691823899371,0.7593589828294373,-0.3882898004395002,1.1304281652193744
SS - ASSIST CITIZEN,0.018867924528301886,0.1364884245663414,-0.1176205000380395,0.15535634909464327
SS - OTHER,0.22641509433962265,0.489439466290903,-0.26302437195128037,0.7158545606305257
PROTECTION ORDER VIOLATION,0.1320754716981132,0.375064678762629,-0.2429892070645158,0.5071401504607422
ALCOHOL - LIQUOR LICENSE VIOLATION,0.031446540880503145,0.17507263041807267,-0.14362608953756953,0.2065191712985758
SEX OFFENSE - OTHER,0.15723270440251572,0.39832864738644624,-0.24109594298393053,0.5555613517889619
FND ARTICLE OTHER THAN ABAND. BIKE OR VEH.,0.14465408805031446,0.40309684088555725,-0.25844275283524276,0.5477509289358717
FALSE INFORMATION - GIVEN TO OFC.,0.7672955974842768,1.0262070296803198,-0.25891143219604307,1.7935026271645966
